"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
9.76,6.76,145,1,67.06,2.94,"Gamma","api","baja","success"
11.08,10.82,118,2,85.33,5.37,"Gamma","api","baja","failed"
18.23,5.13,130,2,79.76,7.02,"Alpha","payments","baja","success"
12.28,11.7,113,0,66.72,4.51,"Alpha","auth","baja","success"
12.52,10.29,118,1,95.15,13.95,"Delta","ui","media","success"
18.86,8.84,106,1,71.45,10.74,"Beta","payments","media","success"
13.84,9.44,117,1,91.59,7.56,"Alpha","auth","baja","success"
6.94,8.51,128,2,78.85,15.34,"Delta","api","alta","success"
9.25,6.88,117,2,67.19,5.48,"Delta","api","media","success"
10.22,7.14,119,2,58.73,5.07,"Delta","auth","baja","success"
16.9,6.49,131,3,63.46,24.91,"Delta","api","alta","success"
13.44,11.1,108,0,77.65,15.43,"Beta","ui","crítica","success"
13.6,9.5,130,1,79.43,14.71,"Gamma","payments","crítica","success"
12.44,7.73,125,0,67.24,23,"Gamma","database","media","success"
9.78,5.15,104,1,76.6,4.77,"Alpha","auth","baja","failed"
19.15,8.8,105,3,93.42,25.64,"Beta","api","alta","success"
13.99,5.48,119,3,77.8,30.52,"Delta","auth","media","success"
4.13,5.87,98,1,78.6,18.68,"Gamma","database","media","success"
14.81,13.1,138,2,83.76,15.28,"Delta","ui","baja","success"
10.11,4.51,120,4,94.82,11.24,"Gamma","payments","media","success"
7.73,5.79,131,2,56.96,24.51,"Gamma","database","baja","success"
11.13,6.55,113,3,62.92,22.3,"Alpha","auth","baja","success"
7.9,6.51,107,1,56.68,9.5,"Beta","database","media","success"
9.08,5.19,104,2,64.93,5.5,"Beta","auth","media","rolled_back"
9.5,7.53,123,1,86.71,3.78,"Delta","payments","baja","success"
5.25,5.4,122,0,82.33,4.34,"Gamma","ui","baja","success"
15.35,11.36,125,1,80.71,11.2,"Beta","ui","baja","success"
12.61,8.31,116,2,79.36,2.28,"Alpha","ui","media","success"
7.45,10.15,114,3,69.54,8.46,"Delta","ui","media","success"
17.02,4.49,108,1,76.99,8.47,"Gamma","payments","media","success"
13.71,7.96,136,2,81.04,6.02,"Delta","database","baja","success"
10.82,9.36,115,2,91.84,4.89,"Alpha","auth","alta","success"
15.58,8.25,136,1,68.82,4.81,"Delta","ui","media","success"
15.51,8.04,108,2,91.73,10.5,"Delta","database","alta","failed"
15.29,5.41,113,4,85.81,9.51,"Gamma","payments","crítica","success"
14.75,6.43,122,1,85.99,24.99,"Alpha","auth","crítica","success"
14.22,6.99,134,0,77.66,15.5,"Delta","database","baja","failed"
11.75,5.99,126,3,60.93,9.15,"Gamma","database","crítica","success"
10.78,9.91,118,1,83.2,11.86,"Delta","database","alta","failed"
10.48,12.4,104,2,69.08,20.41,"Gamma","database","alta","failed"
9.22,11.29,118,2,75.27,4.19,"Beta","auth","media","success"
11.17,9.06,134,1,100,20.63,"Gamma","database","media","rolled_back"
6.94,7.7,101,0,56.92,16.48,"Delta","api","crítica","success"
20.68,9.44,120,1,81.93,8.38,"Gamma","auth","crítica","success"
16.83,6.03,127,4,100,7.13,"Delta","api","alta","success"
7.51,8.66,121,6,100,8.81,"Gamma","payments","media","success"
10.39,8.42,114,1,50.18,27.11,"Alpha","ui","media","failed"
10.13,2.14,121,2,66.86,15.41,"Delta","api","baja","success"
15.12,12.74,116,4,52.44,2.03,"Gamma","api","alta","success"
11.67,4.67,140,6,80.8,14.49,"Beta","api","media","success"
13.01,1.44,123,1,75.63,4.84,"Beta","auth","alta","success"
11.89,8,108,3,61.5,8.6,"Gamma","auth","media","success"
11.83,8.27,109,0,87.91,3.21,"Beta","payments","baja","success"
17.47,7.98,112,3,52.57,25.95,"Beta","api","media","success"
11.1,8.35,132,3,77.24,11.42,"Alpha","database","baja","success"
18.07,5.04,116,0,77.71,18.82,"Gamma","auth","media","success"
5.8,9.48,113,1,81.4,11.62,"Beta","auth","baja","success"
14.34,11.45,112,3,82.72,5.77,"Delta","payments","media","success"
12.5,5.9,123,2,83.6,16.61,"Beta","database","alta","success"
12.86,8.76,131,0,67.27,7.88,"Gamma","database","baja","success"
13.52,7.32,123,1,78.71,29.34,"Alpha","payments","alta","success"
9.99,7.85,116,1,79.31,13.2,"Alpha","ui","media","success"
10.67,10.44,143,2,95.55,17.34,"Delta","payments","media","success"
7.93,8.69,105,2,72.2,29.74,"Gamma","auth","media","success"
7.71,12.83,121,1,71.85,13.96,"Alpha","ui","baja","success"
13.21,7.17,123,0,63.84,8.19,"Beta","api","media","success"
13.79,11.7,115,1,100,8.29,"Beta","ui","media","success"
12.21,6.86,121,5,90.29,16.19,"Delta","auth","media","success"
15.69,7.42,115,1,98.04,6.69,"Alpha","payments","alta","success"
20.2,7.18,127,3,69.63,9.31,"Alpha","ui","alta","success"
10.04,8.72,124,3,68.19,6.93,"Beta","database","media","success"
2.76,9.17,126,1,68.75,19.03,"Delta","database","media","success"
16.02,8.36,126,0,93.58,18.72,"Delta","payments","alta","success"
9.16,9.5,113,4,87.99,5.67,"Alpha","ui","media","success"
9.25,6.05,119,3,95.99,12.75,"Beta","database","media","success"
16.1,7.4,120,0,87.64,35.42,"Alpha","payments","crítica","rolled_back"
10.86,9.63,116,2,81.22,12.65,"Delta","database","crítica","success"
7.12,10.6,127,1,87.22,21.28,"Alpha","auth","media","success"
12.73,8.85,117,3,71.98,8.87,"Delta","api","alta","success"
11.44,9.77,106,0,100,4.09,"Gamma","payments","media","success"
12.02,10.1,125,2,88.07,12.84,"Alpha","database","baja","rolled_back"
13.54,9.52,115,2,62.63,7.47,"Delta","database","crítica","success"
10.52,7.44,118,0,88.61,17.34,"Gamma","payments","media","rolled_back"
14.58,7.59,118,3,73.08,15.62,"Alpha","database","crítica","success"
11.12,9.55,124,0,87.7,9.77,"Alpha","database","baja","success"
13.33,6.86,135,0,69.67,12.56,"Gamma","api","alta","success"
16.39,7.67,129,1,91.7,13.93,"Alpha","ui","baja","success"
13.74,7.77,111,3,70.04,19.2,"Alpha","auth","media","failed"
10.7,4.03,108,2,92.6,17.1,"Beta","payments","baja","rolled_back"
16.6,8.84,125,1,70.15,7.99,"Delta","ui","media","rolled_back"
15.97,9.43,115,2,94.24,16.4,"Beta","api","media","success"
14.19,7.85,111,2,80.77,7.58,"Delta","payments","alta","failed"
12.95,12.49,121,1,75.88,15.22,"Alpha","ui","alta","failed"
9.49,7.56,127,1,70.32,4.71,"Alpha","api","media","success"
17.44,9.45,137,1,65.26,13.49,"Alpha","api","media","success"
9.6,9.33,142,3,73.65,17.46,"Alpha","api","crítica","success"
20.75,9.96,119,2,51.35,4.81,"Delta","api","alta","success"
18.13,9.04,95,4,85.83,8.99,"Delta","ui","alta","success"
11.06,7.52,114,0,74.76,2.12,"Beta","ui","alta","success"
7.89,9.41,125,0,83.47,11.04,"Delta","ui","baja","success"
9.16,8.63,117,1,76.65,8.24,"Alpha","database","media","success"
13.03,8.61,120,2,71.51,11.23,"Delta","ui","alta","failed"
11.01,9.8,120,0,100,13.21,"Delta","ui","alta","success"
10.61,9.93,127,1,81.84,24.52,"Alpha","auth","baja","success"
8.19,7.98,122,4,77.78,15.19,"Delta","ui","baja","success"
11.82,7.03,104,4,62,19.99,"Alpha","payments","alta","success"
8.86,11.32,116,0,73.45,16.25,"Alpha","database","alta","failed"
5.33,8.13,124,2,80.23,23.72,"Beta","ui","media","success"
10.48,7.06,126,0,85.49,6.19,"Gamma","ui","baja","failed"
15.68,5.63,116,1,80.9,15.39,"Gamma","database","baja","success"
9.7,8.67,122,0,52.52,4.41,"Delta","ui","alta","success"
14.43,8.97,123,3,72.81,16.13,"Alpha","auth","media","success"
5.53,5.15,127,2,100,14.96,"Delta","auth","media","success"
11.78,4.63,112,2,74.02,7.27,"Alpha","auth","alta","failed"
14.08,8.46,103,2,70.48,14.11,"Gamma","database","media","success"
13.2,5.95,114,5,79.67,8.6,"Delta","api","baja","failed"
12.42,11.37,131,1,73.73,7.46,"Gamma","payments","media","success"
9.44,5.23,122,1,86.8,7.04,"Gamma","ui","baja","success"
8.6,4.13,103,1,81.07,5.26,"Alpha","api","crítica","success"
7.9,7.83,125,4,71.92,6.9,"Alpha","auth","baja","failed"
12.47,9.17,109,3,61.53,16.52,"Gamma","auth","media","success"
8.21,8.39,119,3,71.4,8.92,"Gamma","auth","alta","success"
10.04,7.7,121,0,96.04,14.48,"Alpha","api","media","success"
10.98,8.95,118,1,93.47,13.94,"Beta","database","baja","success"
19.38,6.08,109,2,73.22,2.99,"Delta","payments","media","rolled_back"
9.39,8.57,123,2,68.96,12.04,"Beta","auth","crítica","success"
12.94,5.92,123,2,80.48,4.72,"Gamma","api","media","success"
12.31,5.99,111,0,75.76,2.29,"Beta","payments","baja","success"
8.15,8.27,97,1,54.45,20.49,"Delta","database","baja","failed"
11.71,9.03,125,1,62.46,21.52,"Delta","ui","baja","success"
17.78,5.83,105,2,88.67,3.84,"Delta","payments","alta","success"
13.81,4.12,110,2,80.22,10.15,"Gamma","api","media","success"
12.16,5.43,128,3,80.81,5.63,"Delta","database","media","success"
10.31,3,125,3,80.67,10.54,"Delta","auth","media","success"
3.79,8.32,117,1,65.63,5.54,"Delta","ui","alta","success"
16.53,9.46,111,2,85.53,20.03,"Gamma","api","crítica","success"
6.16,12.5,131,1,76.75,5.57,"Gamma","auth","media","success"
14.96,5.76,132,2,100,3.89,"Alpha","ui","media","failed"
19.64,6.82,125,5,82.16,25.69,"Delta","api","baja","failed"
6.22,7.73,107,2,85.37,2.55,"Alpha","auth","baja","rolled_back"
14.81,8.59,124,2,80.39,15.7,"Alpha","ui","media","success"
10.95,6,104,5,66.23,28.93,"Beta","auth","media","success"
5.71,10.32,117,0,93.26,19.76,"Alpha","ui","media","success"
5.94,7.05,129,1,82.64,16.95,"Alpha","database","alta","success"
5.59,10.46,98,3,82.27,4.95,"Gamma","api","baja","success"
9.88,3.93,118,2,96.83,5.01,"Beta","database","baja","success"
6.15,7.59,125,3,85.5,20.03,"Delta","database","media","success"
14.75,8.86,107,1,62.21,5.91,"Beta","auth","baja","success"
20.4,6.77,119,2,59.86,6.15,"Beta","payments","crítica","success"
6.85,6.8,104,0,79.83,5.32,"Gamma","api","media","success"
15.15,6.41,110,4,98.36,7.29,"Beta","payments","media","success"
15.08,8.26,106,0,73.93,6.7,"Alpha","payments","alta","failed"
13.33,11.16,129,1,80.97,5.12,"Gamma","api","media","success"
7.97,5.44,105,1,81.23,19.88,"Gamma","database","alta","success"
11.52,7.75,117,2,86.32,29.78,"Delta","auth","media","success"
10.88,6.79,118,0,89.05,10.56,"Gamma","database","media","success"
14.25,11.53,126,1,89.18,1.34,"Gamma","ui","alta","success"
10.51,12.82,116,0,86.06,21.9,"Delta","payments","media","success"
15.91,9.25,119,1,74.2,7.26,"Alpha","auth","baja","rolled_back"
10.5,8.17,118,3,77.8,3.58,"Alpha","auth","baja","failed"
16.21,11.42,117,1,84.67,9.43,"Gamma","database","media","success"
7.8,6.85,119,2,90.28,5.73,"Alpha","api","crítica","success"
6.96,7.86,131,0,86.6,10.8,"Beta","payments","baja","rolled_back"
24.96,10.63,115,0,84.54,17.48,"Alpha","api","media","success"
10.33,8.26,123,2,100,2.08,"Alpha","api","alta","success"
13.19,6.81,116,1,81.9,6.14,"Delta","ui","alta","rolled_back"
14.55,8.46,120,0,81.01,14.9,"Alpha","auth","alta","failed"
10.06,6.88,122,1,83.53,10.26,"Gamma","payments","alta","rolled_back"
